大分類,題號,正式問題,同義問法,標準回答,轉真人條件,備註
型號差異與怎麼選,型號差異與怎麼選-02,TBI1001 跟 TBI1002 差在哪裡？,圓形跟方形差在哪、1001 1002 怎麼選、哪個比較適合我,TBI1001 為圓形智慧音訊眼鏡，風格較偏生活與日常穿搭；TBI1002 為方形智慧音訊眼鏡，風格較偏都會日常與工作辦公。若您重視俐落感與長時間工作配戴，可優先參考 TBI1002；若偏好圓框與日常風格，可參考 TBI1001。,若使用者需要依臉型、度數或門市實戴建議，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-03,TBM1003 跟 TBM1004 差在哪裡？,兩款金屬框差在哪、1003 1004 怎麼挑、哪款比較商務,TBM1003 為圓形金屬智慧音訊眼鏡，較偏知性質感與輕商務；TBM1004 為方形金屬智慧音訊眼鏡，較偏商務專業與正式場合。,若使用者想確認實際配色、庫存或現場試戴，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-04,我適合圓框還是方框？,怎麼選框型、圓的比較適合誰、方的比較適合誰,若您偏好日常感、柔和風格或較有個人特色的外型，可先看圓框；若您偏好俐落、都會、商務或正式一點的風格，可先看方框。實際仍建議依臉型、配戴習慣與實際試戴感受判斷。,若使用者要精準臉型建議，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-05,金屬半框跟全框怎麼選？,半框跟全框差別、金屬框比較適合誰、全框比較好戴嗎,全框系列整體偏經典日常，金屬半框系列偏質感與商務風格。若重視正式感、質感與較成熟的外觀，可先看金屬半框；若想要更生活化、接受度高的外型，可先看全框系列。,若使用者追問重量、現場配鏡適配性，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-06,哪一款比較適合上班族？,辦公推薦哪款、通勤戴哪款、商務用哪支,若偏重工作辦公與都會感，可優先參考 TBI1002；若偏商務會議與正式場合，可優先參考 TBM1004。,若使用者要依工作情境做精準推薦，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-07,哪一款比較適合日常穿搭？,平常戴哪款、日常推薦哪款、比較生活感的是哪支,若您偏好日常穿搭與生活風格，可優先參考 TBI1001 圓形智慧音訊眼鏡；若想要更有知性質感，也可參考 TBM1003 圓形金屬智慧音訊眼鏡。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-08,哪一款適合會議、翻譯或商務使用？,商務推薦哪支、會議用哪款、翻譯哪款適合,若主要使用情境是會議、商務溝通與正式場合，可優先參考 TBM1004；若希望保有商務感又更柔和一些，也可參考 TBM1003。,若使用者想知道不同型號的功能差異是否完全相同，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-09,不同型號功能都一樣嗎？,每一支功能都相同嗎、型號不同功能有差嗎,不同型號在外型、定位與適用情境上會有差異，部分功能體驗也可能因設備型號、APP 版本與銷售版本不同而略有不同，請以實際產品說明與 APP 顯示為準。,若使用者要求逐型號完整功能差異表，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-10,我不知道怎麼選，怎麼辦？,不知道哪款適合我、可以幫我推薦嗎、怎麼挑比較好,您可以先從外型偏好、使用情境與配戴習慣來挑選，例如日常穿搭、長時間辦公、商務會議或旅行翻譯。若希望更精準推薦，建議直接透過 LINE、電話或預約了解，由專人協助。,直接導流真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-01,智慧眼鏡重嗎？,會不會很重、戴久會重嗎、重量大概多少,產品採用人體工學設計，重量輕至約 33.5g 起，適合日常長時間配戴。實際感受仍會因型號、鏡片配置與個人習慣不同而略有差異。,若使用者問到特定型號精準重量，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-02,可以長時間配戴嗎？,戴整天可以嗎、上班戴一天行嗎、久戴舒適嗎,整體設計以日常長時間配戴為方向，並強調舒適度與貼合感。不過實際感受仍會因臉型、鼻樑、鏡片重量與個人習慣而不同。,若使用者有特殊配戴需求，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-03,不同臉型都可以戴嗎？,圓臉能戴嗎、臉大可以嗎、臉型適合嗎,產品採自適應配戴設計，鏡腿可依個人頭型與臉型調整角度，提升貼合度與舒適度。是否最適合仍建議依實際試戴感受判斷。,若使用者要精準臉型建議，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-04,鏡腿可以調整嗎？,腳架可以調嗎、耳掛能調嗎、鏡腳可以調整嗎,可以。產品具備自適應鏡腿調節設計，可依個人較舒適的角度做調整。,若使用者不確定如何調整、怕弄壞，轉真人或提供教學影片。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-05,鏡腿怎麼調比較舒服？,怎麼調不會壓耳朵、要怎麼調角度、怎麼調比較穩,建議以不壓迫耳後、配戴穩定且不明顯滑動為原則，慢慢調整至較自然的位置。若您不熟悉操作，建議參考教學內容或由專人協助。,若使用者已出現鬆動、歪斜或零件問題，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-06,鏡腿可以更換嗎？,可以換腳嗎、鏡腳能拆嗎、可以換顏色嗎,可以。產品具備可拆卸鏡腿設計，部分款式可依需求更換鏡腿或搭配不同顏色。實際支援方式仍以型號與銷售版本為準。,若使用者要確認配件供應，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-07,可以配近視鏡片嗎？,能不能配度數、近視可以用嗎、可以換成我的鏡片嗎,可以。智慧眼鏡可配近視鏡片，建議至專業配鏡通路依個人度數與使用需求配置。,若使用者詢問高度數、散光或特殊鏡片條件，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-08,可以加太陽鏡片嗎？,有太陽片嗎、可以變墨鏡嗎、可以裝偏光嗎,可以。產品可搭配外掛磁吸太陽鏡片，部分情境可選偏光鏡片或夜視鏡片方案。實際支援配件仍依型號與銷售版本為準。,若使用者問具體配件型號、價格、庫存，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-09,戴起來會不會滑？,會不會容易掉、會鬆嗎、走路會滑嗎,產品設計會兼顧穩定與舒適度，並可透過鏡腿調整提升貼合感。若配戴後仍覺得鬆或容易滑動，建議由專人協助調整。,若使用者已購買且有明顯異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
配戴與舒適度調整,配戴與舒適度調整-10,耳朵或鼻樑壓迫怎麼辦？,戴了會痛怎麼辦、壓鼻子怎麼調、壓耳朵怎麼辦,建議先微調鏡腿角度與配戴位置，若仍有壓迫感，可能需要依個人臉型做更細的配戴調整，建議聯繫客服或門市協助。,直接導流真人較穩。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-01,智慧眼鏡怎麼開機？,怎麼開、如何開機、第一次怎麼啟動,請依產品操作方式開啟裝置後，搭配 APP 依畫面指引進行配對與設定。若您是第一次使用，建議先確認電量充足，再依教學內容操作。,若使用者找不到開機方式或按鍵反應異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-02,第一次使用要怎麼連接？,第一次怎麼配對、新機怎麼連、第一次設定怎麼做,請先開啟手機藍牙，打開 APP，依畫面指引搜尋附近設備並選擇您的智慧眼鏡完成配對。配對成功後，即可開始使用相關功能。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-03,怎麼把眼鏡連到手機？,怎麼連手機、怎麼配對、藍芽怎麼連、眼鏡怎麼連 APP,請先確認眼鏡有電、手機藍牙已開啟，再進入 APP 依畫面指引搜尋裝置並完成配對。建議配對時讓眼鏡與手機保持靠近。,若多次失敗，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-04,APP 找不到眼鏡怎麼辦？,搜不到設備、抓不到裝置、眼鏡沒有出現、找不到眼鏡,請先確認眼鏡電量充足、手機藍牙已開啟，並將眼鏡靠近手機後重新搜尋。若眼鏡曾連接其他手機，請先解除原有配對，再重新連接。必要時可重啟 APP 與眼鏡後再試一次。,重試後仍失敗，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-05,藍牙配對失敗怎麼辦？,連不到、配對失敗、藍芽一直失敗、聯線失敗,建議依序確認：眼鏡是否有電、手機藍牙是否開啟、是否距離過遠、是否曾與其他手機連線、APP 是否為較新版本。完成後重新搜尋並再次配對。,若仍失敗，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-06,iPhone 怎麼連？,蘋果手機怎麼連、iOS 怎麼配對、iPhone 抓不到,iPhone 請先開啟藍牙，再進入 APP 依引導完成設備搜尋與配對。若有權限提示，請依畫面允許必要權限。,若遇權限或系統相容問題，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-07,Android 怎麼連？,安卓怎麼連、Android 怎麼配對、安卓抓不到裝置,Android 請先開啟藍牙，再進入 APP 依引導完成設備搜尋與配對。若 APP 提示需要相關權限，請依畫面允許後再重試。,若遇系統權限或品牌手機限制，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-08,眼鏡可以同時連兩支手機嗎？,可以連多台嗎、能雙手機嗎、可以輪流連嗎,一般情況下，建議同一時間連接一台主要設備，以確保通話、翻譯與語音功能穩定使用。,若使用者追問特定型號多點連線能力，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-09,藍牙距離大概多遠？,離多遠會斷、可以離手機多遠、連線距離多少,產品資料顯示藍牙接收距離可達約 20 公尺。實際距離會受到牆面、環境干擾、手機型號與使用場景影響。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-10,為什麼會一直斷線？,一下連一下斷、很容易斷、聲音斷斷續續,連線穩定度可能受到距離、環境干擾、多個藍牙設備同時連接或手機系統狀態影響。建議將眼鏡靠近手機，暫時關閉不使用的藍牙裝置，並確認 APP 已更新後再試。,多次發生或無法排除，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-11,換手機後怎麼重新配對？,換手機連不上、舊手機換新手機怎麼連、重綁怎麼做,若曾連接其他手機，建議先解除舊裝置配對，再用新手機重新開啟藍牙與 APP 搜尋裝置完成配對。,若忘記解除舊設備或仍無法連線，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
開機、連線與配對,開機、連線與配對-12,為什麼藍牙有開還是連不上？,藍芽開了還不行、明明開藍牙了、還是抓不到,除了藍牙本身，還可能與裝置電量、舊配對紀錄、APP 權限、距離或環境干擾有關。建議重新開關藍牙、重啟 APP 與眼鏡後再試。,重試後仍不行，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-01,智慧眼鏡怎麼充電？,怎麼充、充電怎麼用、如何充電,請依產品附帶或建議的充電方式進行充電，並在乾燥、安全的環境下操作。若是第一次使用，建議先確認接口與充電配件是否正確接妥。,若使用者找不到充電方式，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-02,充多久會充滿？,要充多久、多久滿電、幾分鐘會滿,產品資料顯示具備快速充電能力。不同資料版本的充電時間可能會因測試條件不同而略有差異，請以實際產品說明與 APP 顯示為準。,若使用者要精準時間或充電異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-03,續航大概多久？,能用多久、電池撐多久、充滿能用多久,產品資料顯示在特定音量條件下可連續使用約 9 小時。實際續航會因音量、通話、翻譯、AI 功能使用頻率與環境而有所不同。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-04,APP 可以看電量嗎？,在哪看電量、手機看得到嗎、怎麼知道剩多少電,若設備與 APP 成功連接，通常可在 APP 內查看眼鏡電量或連接狀態，實際顯示內容請依 APP 版本為準。,若已連線仍看不到，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-05,為什麼充不進去？,不能充電、電充不進去、怎麼都沒充到,建議先確認充電線、充電接口與電源是否正常，並檢查接口是否有水氣或異物。若仍無法充電，建議停止反覆嘗試並聯繫客服。,直接導流真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-06,充電燈沒亮怎麼辦？,沒亮燈、燈沒反應、插了沒顯示,可先確認充電線是否接妥、電源是否正常、接口是否乾燥。若仍無反應，可能需要進一步檢查設備或配件。,直接導流真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-07,可以邊充邊用嗎？,充電時能用嗎、插著能用嗎、一邊充一邊戴可以嗎,為了使用安全與維持較穩定的使用狀態，建議依產品說明進行操作。若官方未明確標示支援邊充邊用，建議優先避免在充電時長時間使用。,若使用者堅持要確認，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-08,用什麼充電線？,要什麼線、原廠線嗎、一般線可不可以,建議使用隨附或建議規格的充電配件，以確保充電穩定與使用安全。,若使用者需精準規格，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-09,電量掉很快正常嗎？,怎麼一下就沒電、耗電很快、電池不耐用,續航會受音量、通話、翻譯、AI 功能頻率與環境影響。若近期使用大量翻譯、錄音或通話功能，耗電可能會較快。若異常快速掉電，建議聯繫客服檢查。,疑似異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-10,怎麼延長使用時間？,怎樣比較省電、怎麼省電、如何延長續航,建議適度降低音量、不使用時關閉高耗能功能、維持 APP 與設備更新，並避免在高溫環境下長時間充電或使用。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
充電、電量與續航,充電、電量與續航-11,多久該充一次？,要常常充嗎、電池要不要用完再充、什麼時候該充,建議依日常使用情況補充電量，不必刻意等完全沒電才充。只要維持正常、穩定的充電習慣即可。,若使用者問到電池保養細節，先保守回覆，必要時轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-01,智慧眼鏡可以接電話嗎？,能講電話嗎、可以通話嗎、能接來電嗎,可以。連接手機後，可透過智慧眼鏡進行通話，讓雙手保持自由，適合辦公、通勤與日常使用。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-02,通話時有降噪嗎？,有降躁嗎、會降噪嗎、講電話清楚嗎,有。產品搭載雙麥 ENC 降噪，可協助降低環境噪音、提升通話清晰度。實際效果會受使用環境影響。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-03,聲音聽起來很小怎麼辦？,沒什麼聲音、太小聲、音量很低,建議先確認手機與眼鏡的音量設定，並檢查是否連線穩定。若仍覺得異常偏小，可能需要進一步檢查設定或裝置狀態。,調整後仍異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-04,為什麼沒有聲音？,沒聲音、聽不到、怎麼沒播出來,請先確認是否已成功連接裝置、音量是否開啟、音訊是否輸出到正確設備，並重新播放測試。若仍無聲音，建議重新連線或重啟裝置。,仍無法排除，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-05,可以聽音樂嗎？,能播音樂嗎、可以聽歌嗎、能聽導航嗎,可以。智慧眼鏡支援音訊播放，適合聽音樂、語音內容、導航提示與影音娛樂。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-06,是像耳機一樣塞耳朵嗎？,是不是耳機、要塞耳道嗎、是入耳式嗎,不是。產品採用眼鏡式音訊體驗，不需要塞入耳道，較適合希望長時間佩戴並保持耳部舒適的使用者。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-07,別人會聽到我的聲音嗎？,會漏音嗎、旁邊的人聽得到嗎、會吵到別人嗎,在一般音量下可提供較自然的聆聽體驗。為避免影響他人，建議在安靜環境中適度調低音量。,若使用者要求精準漏音程度，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-08,通話聲音斷斷續續怎麼辦？,講電話不穩、聲音斷掉、對方聽不清楚,建議先確認藍牙連線穩定、手機訊號正常，並盡量避免強干擾環境。若仍反覆發生，可重新連線或聯繫客服。,持續異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-09,降噪效果會受什麼影響？,為什麼降噪不明顯、吵雜環境可以嗎、降噪有時候不好,降噪效果會受到環境噪音型態、風聲、距離、說話音量與配戴狀態影響。在較複雜或很吵的環境下，效果可能會有所差異。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
通話、聲音與降噪,通話、聲音與降噪-10,可以聽導航或語音播報嗎？,導航會播嗎、提醒會出來嗎、可以聽語音嗎,可以。智慧眼鏡可用於音訊播放與語音播報情境，例如導航提示或語音內容。實際顯示與播報內容仍以 APP 與手機設定為準。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-01,支援哪些 AI 功能？,有哪些 AI 功能、能做什麼、AI 可以幹嘛,目前支援即時翻譯、會議記錄、錄音轉文字、多國語言翻譯、拍照翻譯、語音同聲傳譯、語音播報與辦公智慧助手等功能。實際可用功能會依 APP 版本與設備型號而定。,若使用者追問特定未確認功能，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-02,怎麼開即時翻譯？,翻譯怎麼開、怎麼翻譯、可以即時翻譯嗎,您可以在 APP 中開啟即時翻譯功能，選擇需要的語言後開始使用。建議保持眼鏡與手機連接，並確認 APP 已取得必要權限與穩定網路。,若功能找不到或沒有反應，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-03,支援哪些語言？,可以翻英文嗎、有日文嗎、支援語言有哪些,產品支援多國語言翻譯，並包含中英文等常用語言。實際支援語言仍請以 APP 內顯示的語言清單為準。,若使用者要精準完整語言表，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-04,翻譯需要網路嗎？,沒網路能翻嗎、一定要上網嗎、離線可以嗎,多數 AI 翻譯與語音辨識功能需要網路連線，以確保翻譯品質與回應速度。建議在 Wi-Fi 或行動網路穩定的環境下使用。,若使用者要問離線模式，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-05,可以同聲傳譯嗎？,會議可以邊翻嗎、能即時聽懂嗎、可以同步翻譯嗎,產品支援語音同聲傳譯功能，適合會議、商旅與跨語言溝通場景。實際效果會受語速、口音、多人說話、噪音與網路影響。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-06,可以拍照翻譯嗎？,能拍照翻嗎、看菜單可以翻嗎、文件可以翻嗎,可以。APP 支援拍照翻譯，可用於菜單、標示、文件或旅途中遇到的外語文字。實際辨識效果會受光線、文字清晰度與拍攝角度影響。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
